,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,datetime
23,114090,Female,Loyal Customer,58,Personal Travel,Eco,2139,4,5,4,5,3,2,5,4,4,4,5,2,3,1,77,17,1/1/1936
24,105420,Female,disloyal Customer,23,Business travel,Eco,452,5,0,5,1,0,5,2,2,5,5,5,4,5,2,54,124,1/2/1936
25,102956,Male,Loyal Customer,57,Personal Travel,Eco,719,5,3,3,1,5,5,5,5,3,3,5,5,5,5,120,29,1/3/1936
26,18510,Female,Loyal Customer,-1,Business travel,Business,1561,1,0,0,2,2,5,2,3,5,3,4,5,3,1,11,0,1/4/1936
27,14925,Female,Loyal Customer,49,Business travel,Eco Plus,315,5,3,3,4,3,1,0,3,3,3,3,2,3,3,0,8,1/5/1936
28,118319,Female,Loyal Customer,-1,Business travel,Business,3347,4,1,0,1,2,2,2,4,2,4,2,2,2,3,75,31,1/6/1936
29,75460,Male,Loyal Customer,-1,Personal Travel,Eco,1,4,1,3,4,3,2,0,4,3,4,2,5,2,2,86,0,1/7/1936
30,48492,Female,Loyal Customer,-1,Business travel,Business,819,3,3,3,4,5,5,5,5,5,3,4,0,5,5,66,0,1/8/1936
31,27809,Female,disloyal Customer,15,Business travel,Eco,1043,3,3,2,4,5,3,5,5,3,1,4,2,4,5,3,0,1/9/1936
32,70594,Female,Loyal Customer,-1,Business travel,Business,2611,5,5,4,5,5,4,3,2,4,5,5,5,4,5,105,159,1/10/1936
33,30089,Female,Loyal Customer,67,Personal Travel,Eco,1192,5,5,5,2,3,3,5,5,5,3,2,5,5,5,98,61,1/11/1936
34,58779,Male,disloyal Customer,37,Business travel,Business,1182,3,3,2,4,0,2,0,0,3,2,4,1,4,1,13,0,1/12/1936
35,79659,Female,Loyal Customer,-1,Business travel,Eco,349,2,5,5,4,0,1,2,1,4,5,4,3,4,1,45,50,1/13/1936
36,110293,Female,disloyal Customer,34,Business travel,Business,883,4,3,4,2,5,5,3,5,5,5,5,3,5,5,0,31,1/14/1936
37,48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,3,2,5,2,2,5,3,1,5,1,3,4,3,3,23,20,1/15/1936
38,96517,Female,Loyal Customer,47,Personal Travel,Eco,302,4,5,4,2,2,4,5,5,4,4,5,4,4,3,65,53,1/16/1936
39,64685,Male,disloyal Customer,-1,Business travel,Business,354,2,0,2,3,0,0,1,0,2,3,3,3,5,0,58,0,1/17/1936
40,64138,Male,Loyal Customer,39,Business travel,Business,1734,3,3,4,5,4,5,5,4,3,4,3,4,3,2,29,53,1/18/1936
41,60373,Female,disloyal Customer,25,Business travel,Business,1452,2,5,4,3,2,4,2,3,3,3,5,5,5,4,59,100,1/19/1936
42,14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0,2,3,5,2,3,5,5,3,4,5,4,92,0,1/20/1936
43,28319,Female,Loyal Customer,38,Business travel,Business,2882,2,3,4,4,3,1,4,5,5,5,5,2,5,5,0,0,1/21/1936
44,103012,Female,Loyal Customer,50,Business travel,Business,100000,0,1,0,0,2,5,5,2,2,3,3,3,4,5,8,103,1/22/1936
45,124114,Male,Loyal Customer,29,Business travel,Business,529,2,0,2,2,5,5,5,5,4,2,5,5,3,5,4,0,1/23/1936
